RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
394399,85,"Boise City, ID",Msa,ID,339900,359900,343990,357900,365000,360000,354900,349990,349900,344990,339900,339900,339990,349900,365000,382999,389900,388065,384900,379900,375000,365729,367990,369900,378900,388015,395900,394900,399900,409990,421622,419990,429000,438500,459000,455900,459990,483700,499990,525945,550900,566790,556600,549900,544990,549990,554900,575900
395160,86,"Toledo, OH",Msa,OH,124900,124900,134900,139900,148900,149000,145900,139900,139900,139500,135000,135900,135000,139900,157900,172500,184900,179000,174900,169900,161900,159900,159500,154900,153900,152000,157500,167700,189900,195000,199900,214900,199000,199500,183200,179900,184900,199900,199900,199900,199900,195000,194900,179900,169900,164900,159900,154900
394816,87,"Madison, WI",Msa,WI,319000,329900,339900,344900,339900,339900,335000,329900,325000,324800,319900,324900,329900,349900,350000,349950,349900,349900,349900,349000,344500,340000,339900,342500,350000,369900,369900,374900,378000,379900,374900,364900,359000,359900,361200,374900,379900,385000,389900,389900,399900,395000,394900,387900,387800,389900,395000,402900
394766,88,"Lakeland, FL",Msa,FL,231699,235818,236848,241894,241997,241997,243026,239927,236745,231699,231699,235715,234685,235458,236745,238753,243953,242949,241997,241997,241997,241997,240349,241894,241997,246116,247043,243953,246013,247146,253839,257340,257443,258244,261180,263277,264190,266950,277995,292815,300000,310900,311900,315000,324900,327900,329900,335500
394931,89,"Ogden, UT",Msa,UT,349326,362687,380261,382419,385297,385400,385400,377692,375019,368956,369881,379233,385400,390537,401345,410990,400816,395677,390435,388483,379231,359706,369881,380158,393621,400816,400816,400713,421267,441925,455275,444494,451174,455000,462990,469900,,,,,,,,,,,,
394528,90,"Daytona Beach, FL",Msa,FL,269000,273000,274900,275000,286990,289000,285000,280000,279000,274900,271500,272000,272500,274992,279900,289900,290000,289000,285000,279900,277000,275780,275780,278000,277900,284900,289000,279150,284899,287900,294500,290000,298000,299000,299990,299936,301625,315000,319900,334950,339900,342990,345000,349000,349900,350000,352399,351990
394531,91,"Des Moines, IA",Msa,IA,287609,292451,300101,304943,304943,304943,300198,296408,295259,293903,290417,285672,289061,290417,296615,300101,295356,295356,289546,281789,279862,268532,266208,266208,268716,276860,280733,280733,288577,295259,295259,287047,285478,285621,284417,286891,287050,293500,299090,309900,317990,322000,325300,319000,314690,315000,320000,325000
395006,100,"Provo, UT",Msa,UT,383377,402649,405598,392324,387791,382787,383377,391341,378559,373544,368136,368726,373544,383082,392324,393209,392324,393209,398991,402157,393308,392324,392324,393209,394291,415923,417889,412875,422806,442373,457220,471871,491536,495873,509294,514585,519000,523990,513900,535266,574900,570000,566900,569900,569900,569900,578000,599990
394549,104,"Durham, NC",Msa,NC,383110,402023,410988,411946,416737,406198,397576,392786,383206,383206,382248,381290,383014,402271,415779,416737,417599,411851,407061,396618,383206,377937,378895,383110,397576,416727,431107,416737,426317,436855,443968,454353,454961,457490,455100,450000,439000,449500,475000,519790,524000,525000,489900,497945,492670,490000,485000,474950
394602,159,"Fort Collins, CO",Msa,CO,452542,452447,452447,461417,461253,461972,452447,447683,446731,441112,438159,433301,432482,428634,438159,440064,446255,442921,433396,428538,433301,431491,433301,428634,438139,451923,466734,466639,471492,476260,476164,472915,466734,467518,472388,469466,,,,,,,,,,,,
