GEO_ID,GeographicAreaName, Total
1600000US0117176,"Coosada town, AL",1217
1600000US0117368,"Cordova, AL",1728
1600000US0117704,"Cottondale, AL",3130
1600000US0117824,"Cottonwood town, AL",1048
1600000US0117968,"County Line town, AL",311
1600000US0118040,"Courtland town, AL",583
1600000US0118088,"Cowarts town, AL",1930
1600000US0118304,"Creola, AL",1936
1600000US0118856,"Crossville town, AL",1830
1600000US0118952,"Cuba town, AL",306
1600000US0118976,"Cullman, AL",18213
1600000US0119024,"Cullomburg, AL",126
1600000US0119216,"Cusseta town, AL",152
1600000US0119336,"Dadeville, AL",3084
1600000US0119360,"Daleville, AL",4866
1600000US0119648,"Daphne, AL",27462
1600000US0119744,"Dauphin Island town, AL",1778
1600000US0119816,"Daviston town, AL",174
1600000US0119912,"Dayton town, AL",28
1600000US0120008,"Deatsville town, AL",1679
1600000US0120104,"Decatur, AL",57938
1600000US0120152,"Deer Park, AL",141
1600000US0120272,"Delta, AL",260
1600000US0120296,"Demopolis, AL",7162
1600000US0120392,"Detroit town, AL",230
1600000US0120955,"Dodge  town, AL",548
1600000US0121136,"Dora, AL",2297
1600000US0121184,"Dothan, AL",71072
1600000US0121280,"Double Springs town, AL",1119
1600000US0121328,"Douglas town, AL",761
1600000US0121448,"Dozier town, AL",285
1600000US0121890,"Dunnavant, AL",936
1600000US0121952,"Dutton town, AL",330
1600000US0122088,"Eagle Point, AL",2903
1600000US0122216,"East Brewton, AL",2293
1600000US0122504,"East Point, AL",172
1600000US0122816,"Eclectic town, AL",1193
1600000US0123032,"Edgewater, AL",746
1600000US0123176,"Edwardsville town, AL",206
1600000US0123224,"Egypt, AL",845
1600000US0123296,"Elba, AL",3508
1600000US0123320,"Elberta town, AL",1974
1600000US0123344,"Eldridge town, AL",136
1600000US0123488,"Elkmont town, AL",411
1600000US0123656,"Elmore town, AL",1280
1600000US0123872,"Emelle town, AL",32
1600000US0123880,"Emerald Mountain, AL",3310
1600000US0124184,"Enterprise, AL",28711
1600000US0124256,"Epes town, AL",272
1600000US0124280,"Equality, AL",150
1600000US0124472,"Ethelsville town, AL",49
1600000US0124568,"Eufaula, AL",12882
1600000US0124616,"Eunola, AL",284
1600000US0124664,"Eutaw town, AL",2937
1600000US0124688,"Eva town, AL",589
1600000US0124808,"Evergreen, AL",3520
1600000US0124880,"Excel town, AL",557
1600000US0125120,"Fairfield, AL",10000
1600000US0125216,"Fairford, AL",161
1600000US0125240,"Fairhope, AL",22477
1600000US0125384,"Fairview town, AL",543
1600000US0125648,"Falkville town, AL",1197
1600000US0125816,"Faunsdale town, AL",90
1600000US0125840,"Fayette, AL",4285
1600000US0125864,"Fayetteville, AL",1422
1600000US0126152,"Fitzpatrick, AL",79
1600000US0126200,"Five Points town, AL",114
1600000US0126824,"Flomaton town, AL",1466
1600000US0126848,"Florala town, AL",1923
1600000US0126896,"Florence, AL",40184
1600000US0126992,"Foley, AL",20335
1600000US0127088,"Forestdale, AL",10409
1600000US0127376,"Forkland town, AL",445
1600000US0127520,"Fort Deposit town, AL",1225
1600000US0127616,"Fort Payne, AL",14877
1600000US0127640,"Fort Rucker, AL",4464
1600000US0128024,"Franklin town, AL",590
1600000US0128120,"Fredonia, AL",198
1600000US0128312,"Frisco  town, AL",1170
1600000US0128408,"Fruitdale, AL",175
1600000US0128432,"Fruithurst town, AL",235
1600000US0128504,"Fulton town, AL",223
1600000US0128552,"Fultondale, AL",9876
1600000US0128672,"Fyffe town, AL",967
1600000US0128696,"Gadsden, AL",33945
1600000US0128768,"Gainesville town, AL",172
1600000US0128816,"Gallant, AL",869
1600000US0128936,"Gantt town, AL",196
1600000US0129032,"Garden  town, AL",528
1600000US0129056,"Gardendale, AL",16044
1600000US0129296,"Gaylesville town, AL",170
1600000US0129392,"Geiger town, AL",155
1600000US0129464,"Geneva, AL",4245
1600000US0129560,"GAna town, AL",1324
1600000US0129608,"Geraldine town, AL",910
1600000US0129704,"Gilbertown town, AL",739
1600000US0129944,"Glen Allen town, AL",433
1600000US0129992,"Glencoe, AL",5372
1600000US0130160,"Glenwood town, AL",152
1600000US0130448,"Goldville town, AL",52
1600000US0130496,"Good Hope, AL",2483
1600000US0130640,"Goodwater town, AL",1291
1600000US0130736,"Gordo town, AL",1628
1600000US0130760,"Gordon town, AL",294
1600000US0130808,"Gordonville town, AL",245
1600000US0130880,"Goshen town, AL",269
1600000US0131000,"Graham, AL",196
1600000US0131024,"Grand Bay, AL",3460
1600000US0131096,"Grant town, AL",1039
1600000US0131348,"Grayson Valley, AL",5982
1600000US0131384,"Graysville, AL",1950
1600000US0131720,"Greensboro, AL",2218
1600000US0131912,"Greenville, AL",7374
1600000US0132056,"Grimes town, AL",573
1600000US0132080,"Grove Hill town, AL",1818
1600000US0132224,"Guin, AL",2195
1600000US0132248,"Gulfcrest, AL",142
1600000US0132272,"Gulf Shores, AL",15014
1600000US0132416,"Guntersville, AL",8553
1600000US0132440,"Gurley town, AL",816
1600000US0132536,"Gu-Win town, AL",141
1600000US0132560,"Hackleburg town, AL",1425
1600000US0132584,"Hackneyville, AL",349
1600000US0132656,"Haleburg town, AL",112
1600000US0132704,"Haleyville, AL",4361
1600000US0132848,"Hamilton, AL",7042
1600000US0132896,"Hammondville town, AL",425
1600000US0132968,"Hanceville, AL",3217
1600000US0133064,"Hanover, AL",151
1600000US0133256,"Harpersville town, AL",1614
1600000US0133424,"Hartford, AL",2651
1600000US0133448,"Hartselle, AL",15455
1600000US0133472,"Harvest, AL",5893
1600000US0133544,"Hatton, AL",244
1600000US0133640,"Hayden town, AL",1342
1600000US0133712,"Hayneville town, AL",830
1600000US0133808,"Hazel Green, AL",4105
1600000US0133856,"Headland, AL",4973
1600000US0133904,"Heath town, AL",236
1600000US0133976,"Heflin, AL",3431
1600000US0134024,"Helena, AL",20914
1600000US0134096,"Henagar, AL",2292
1600000US0134480,"Highland Lake town, AL",412
1600000US0134490,"Highland Lakes, AL",5239
1600000US0134816,"Hillsboro town, AL",407
1600000US0134984,"Hissop, AL",209
1600000US0135130,"Hobson, AL",100
1600000US0135152,"Hobson  town, AL",759
1600000US0135200,"Hodges town, AL",265
1600000US0135392,"Hokes Bluff, AL",4446
1600000US0135512,"Hollins, AL",517
1600000US0135536,"Hollis Crossroads, AL",665
1600000US0135560,"Holly Pond town, AL",851
1600000US0135632,"Hollywood town, AL",914
1600000US0135704,"Holt, AL",3413
1600000US0135752,"Holtville, AL",4940
1600000US0135800,"Homewood, AL",26414
1600000US0135896,"Hoover, AL",92606
1600000US0136088,"Horn Hill town, AL",207
1600000US0136448,"Hueytown, AL",16776
1600000US0136592,"Huguley, AL",2470
1600000US0137000,"Huntsville, AL",215006
1600000US0137096,"Hurtsboro town, AL",349
1600000US0137264,"Hytop town, AL",441
1600000US0137312,"Ider town, AL",735
1600000US0137465,"Indian Springs Village, AL",2481
1600000US0137864,"Irondale, AL",13497
1600000US0138032,"Ivalee, AL",946
1600000US0138152,"Jackson, AL",4748
1600000US0138248,"Jacksons' Gap town, AL",747
1600000US0138272,"Jacksonville, AL",14385
1600000US0138416,"Jasper, AL",14572
1600000US0138608,"Jemison, AL",2642
1600000US0139064,"Joppa, AL",556
1600000US0139280,"KS town, AL",180
1600000US0139472,"Kellyton town, AL",129
1600000US0139520,"Kennedy town, AL",435
1600000US0139784,"Killen town, AL",1034
1600000US0139856,"Kimberly, AL",3841
1600000US0140072,"Kinsey town, AL",2203
1600000US0140096,"Kinston town, AL",580
1600000US0140648,"Ladonia, AL",3074
1600000US0140672,"La Fayette, AL",2684
1600000US0140888,"Lakeview town, AL",161
1600000US0140928,"Lake View town, AL",3560
1600000US0141296,"Lanett, AL",6970
1600000US0141368,"Langston town, AL",265
1600000US0141968,"Leeds, AL",12324
1600000US0142016,"Leesburg town, AL",911
1600000US0142160,"Leighton town, AL",665
1600000US0142304,"Leroy, AL",766
1600000US0142352,"Lester town, AL",111
1600000US0142472,"Level Plains town, AL",1825
1600000US0142640,"Lexington town, AL",727
1600000US0142808,"Libertyville town, AL",108
1600000US0142928,"Lillian, AL",1330
1600000US0143120,"Lincoln, AL",6845
1600000US0143240,"Linden, AL",1930
1600000US0143264,"Lineville, AL",2489
1600000US0143336,"Lipscomb, AL",2086
1600000US0143384,"Lisman town, AL",427
1600000US0143648,"Littleville town, AL",1038
1600000US0143720,"Livingston, AL",3436
1600000US0143744,"Loachapoka town, AL",160
1600000US0143816,"Lockhart town, AL",445
1600000US0143888,"Locust Fork town, AL",1192
1600000US0144160,"Lookout Mountain, AL",1484
1600000US0144344,"Louisville town, AL",395
1600000US0144536,"Lowndesboro town, AL",89
1600000US0144608,"Loxley town, AL",3710
1600000US0144728,"Luverne, AL",2765
1600000US0144800,"Lynn town, AL",610
1600000US0145040,"McCalla, AL",12965
1600000US0145208,"McDonald Chapel, AL",739
1600000US0145316,"Macedonia, AL",241
1600000US0145472,"McIntosh town, AL",206
1600000US0145496,"McKenzie town, AL",507
1600000US0145640,"McMullen town, AL",32
1600000US0145784,"Madison, AL",56933
1600000US0145904,"Madrid town, AL",265
1600000US0146072,"Magnolia Springs town, AL",811
1600000US0146192,"Malcolm, AL",136
1600000US0146264,"Malvern town, AL",1536
1600000US0146504,"Maplesville town, AL",637
1600000US0146600,"Marbury, AL",1427
1600000US0146696,"Margaret town, AL",5106
1600000US0146768,"Marion, AL",3176
1600000US0147728,"Maytown town, AL",316
1600000US0147740,"Meadowbrook, AL",9688
1600000US0147848,"Megargel, AL",60
1600000US0148052,"Memphis town, AL",29
1600000US0148064,"Mentone town, AL",319
1600000US0148112,"Meridianville, AL",8209
1600000US0148376,"Midfield, AL",5211
1600000US0148400,"Midland  town, AL",2239
1600000US0148424,"Midway town, AL",421
1600000US0148616,"Mignon, AL",1186
1600000US0148712,"Millbrook, AL",16564
1600000US0148784,"Millerville, AL",303
1600000US0148808,"Millport town, AL",1010
1600000US0148832,"Millry town, AL",450
1600000US0149072,"Minor, AL",1088
1600000US0150000,"Mobile, AL",187041
1600000US0150192,"Monroeville, AL",5951
1600000US0150312,"Montevallo, AL",7229
1600000US0151000,"Montgomery, AL",200603
1600000US0151096,"Moody, AL",13170
1600000US0151216,"Moores Mill, AL",6729
1600000US0151264,"Mooresville town, AL",47
1600000US0151456,"Morris town, AL",2259
1600000US0151469,"Morrison Crossroads, AL",221
1600000US0151520,"Mosses town, AL",834
1600000US0151600,"Moulton, AL",3398
1600000US0151648,"Moundville town, AL",3024
1600000US0151696,"Mountain Brook, AL",22461
1600000US0152320,"Mount Olive  (Coosa County), AL",311
1600000US0152344,"Mount Olive  (Jefferson County), AL",4427
1600000US0152608,"Mount Vernon town, AL",1354
1600000US0152680,"Movico, AL",291
1600000US0152776,"Mulga town, AL",784
1600000US0152848,"Munford town, AL",1351
1600000US0153016,"Muscle Shoals, AL",16275
1600000US0153112,"Myrtlewood town, AL",70
1600000US0153208,"Nanafalia, AL",75
1600000US0153232,"Nances Creek, AL",399
1600000US0153256,"Napier Field town, AL",409
1600000US0153376,"Natural Bridge town, AL",32
1600000US0153400,"Nauvoo town, AL",185
1600000US0153448,"Nectar town, AL",379
1600000US0153472,"Needham town, AL",73
1600000US0153784,"Newbern town, AL",133
1600000US0153856,"New Brockton town, AL",1428
1600000US0154168,"New Hope, AL",2889
1600000US0154312,"New Market, AL",1543
1600000US0154432,"New Site town, AL",773
1600000US0154480,"Newton town, AL",1607
1600000US0154582,"New Union, AL",1019
1600000US0154600,"Newville town, AL",544
1600000US0154696,"Nixburg, AL",329
1600000US0155044,"North Courtland town, AL",483
1600000US0155152,"North Johns town, AL",127
1600000US0155200,"Northport, AL",31125
1600000US0155440,"Notasulga town, AL",914
1600000US0155752,"Oak Grove town, AL",564
1600000US0155848,"Oak Hill town, AL",14
1600000US0155992,"Oakman town, AL",771
1600000US0156400,"Odenville, AL",4969
1600000US0156472,"Ohatchee town, AL",1157
1600000US0157000,"Oneonta, AL",6938
1600000US0157024,"Onycha town, AL",167
1600000US0157048,"Opelika, AL",30995
1600000US0157120,"Opp, AL",6771
1600000US0157144,"Orange Beach, AL",8095
1600000US0157240,"Orrville town, AL",150
1600000US0157384,"Our Town, AL",605
1600000US0157504,"Owens Cross Roads town, AL",2594
1600000US0157576,"Oxford, AL",22069
1600000US0157648,"Ozark, AL",14368
1600000US0157696,"Paint Rock town, AL",182
1600000US0157912,"Panola, AL",71
1600000US0158272,"Parrish town, AL",982
1600000US0158680,"Pea Ridge, AL",841
1600000US0158848,"Pelham, AL",24318
1600000US0158896,"Pell , AL",12939
1600000US0158968,"Pennington town, AL",329
1600000US0159016,"Penton, AL",163
1600000US0159064,"Perdido, AL",730
1600000US0159088,"Perdido Beach town, AL",555
1600000US0159232,"Peterman, AL",87
1600000US0159328,"Petrey town, AL",67
1600000US0159472,"Phenix , AL",38816
1600000US0159496,"Phil Campbell town, AL",992
1600000US0159592,"Pickensville town, AL",557
1600000US0159640,"Piedmont, AL",4787
1600000US0159760,"Pike Road town, AL",9439
1600000US0159832,"Pinckard town, AL",582
1600000US0159880,"Pine Apple town, AL",143
1600000US0160240,"Pine Hill town, AL",758
1600000US0160264,"Pine Level, AL",4885
1600000US0160372,"Pine Ridge town, AL",263
1600000US0160648,"Pinson, AL",7215
1600000US0160720,"Pisgah town, AL",681
1600000US0161008,"Pleasant Grove, AL",9544
1600000US0161038,"Pleasant Groves town, AL",426
1600000US0161488,"Point Clear, AL",2076
1600000US0161536,"Pollard town, AL",128
1600000US0162075,"Powell town, AL",901
1600000US0162328,"Prattville, AL",37781
1600000US0162472,"Priceville town, AL",3512
1600000US0162496,"Prichard, AL",19322
1600000US0162688,"Providence town, AL",167
1600000US0162952,"Putnam, AL",172
1600000US0163216,"Ragland town, AL",1693
1600000US0163288,"Rainbow , AL",10191
1600000US0163336,"Rainsville, AL",5505
1600000US0163408,"Ranburne town, AL",422
1600000US0163495,"Ray, AL",326
1600000US0163576,"Red Bay, AL",3232
1600000US0163730,"Redland, AL",5106
1600000US0163768,"Red Level town, AL",432
1600000US0163912,"Redstone Arsenal, AL",837
1600000US0163984,"Reece  town, AL",615
1600000US0164040,"Reeltown, AL",794
1600000US0164104,"Reform town, AL",1520
1600000US0164152,"Rehobeth town, AL",1791
1600000US0164248,"Remlap, AL",2624
1600000US0164368,"Repton town, AL",235
1600000US0164656,"Ridgeville town, AL",83
1600000US0164776,"River Falls town, AL",479
1600000US0164920,"Riverside, AL",2227
1600000US0165016,"Riverview town, AL",163
1600000US0165040,"Roanoke, AL",5311
1600000US0165208,"Robertsdale, AL",6708
1600000US0165412,"Rock Creek, AL",1471
1600000US0165472,"Rockford town, AL",349
1600000US0165592,"Rock Mills, AL",603
1600000US0165784,"Rockville, AL",47
1600000US0166216,"Rogersville town, AL",1286
1600000US0166408,"Rosa town, AL",376
1600000US0167056,"Russellville, AL",10855
1600000US0167176,"Rutledge town, AL",351
1600000US0167536,"St. Florian town, AL",584
1600000US0167584,"St. Stephens, AL",415
1600000US0167608,"Saks, AL",9956
1600000US0167800,"Samson, AL",1874
1600000US0167920,"Sand Rock town, AL",591
1600000US0168016,"Sanford town, AL",257
1600000US0168160,"Saraland, AL",16171
1600000US0168280,"Sardis  town, AL",1814
1600000US0168352,"Satsuma, AL",6749
1600000US0168736,"Scottsboro, AL",15578
1600000US0169000,"Section town, AL",756
1600000US0169120,"Selma, AL",17971
1600000US0169180,"Selmont-West Selmont, AL",2158
1600000US0169240,"Semmes, AL",4941
1600000US0169648,"Sheffield, AL",9403
1600000US0169672,"Shelby, AL",940
1600000US0169840,"Shiloh town, AL",321
1600000US0169978,"Shoal Creek, AL",1668
1600000US0170128,"Shorter town, AL",385
1600000US0170416,"Silas town, AL",377
1600000US0170536,"Silverhill town, AL",768
1600000US0170632,"Sims Chapel, AL",145
1600000US0170704,"Sipsey town, AL",363
1600000US0170896,"Skyline town, AL",834
1600000US0171040,"Slocomb, AL",2082
1600000US0171190,"Smiths Station, AL",5384
1600000US0171201,"Smoke Rise, AL",1661
1600000US0171280,"Snead town, AL",1032
1600000US0171496,"Somerville town, AL",796
1600000US0171832,"Southside, AL",9426
1600000US0171900,"South Vinemont town, AL",558
1600000US0171976,"Spanish Fort, AL",10049
1600000US0172408,"Spring Garden, AL",216
1600000US0172600,"Springville, AL",4786
1600000US0172672,"Spruce Pine, AL",215
1600000US0172720,"Standing Rock, AL",132
1600000US0172816,"Stapleton, AL",2213
1600000US0172888,"Steele town, AL",992
1600000US0173056,"Sterrett, AL",706
1600000US0173080,"Stevenson, AL",1955
1600000US0173152,"Stewartville, AL",1662
1600000US0173272,"Stockton, AL",557
1600000US0173728,"Sulligent, AL",1879
1600000US0173848,"Sumiton, AL",2444
1600000US0173872,"Summerdale town, AL",1468
1600000US0174160,"Susan Moore town, AL",787
1600000US0174304,"Sweet Water town, AL",228
1600000US0174352,"Sylacauga, AL",12578
1600000US0174400,"Sylvania town, AL",1790
1600000US0174424,"Sylvan Springs town, AL",1653
1600000US0174592,"Talladega, AL",15861
1600000US0174616,"Talladega Springs town, AL",144
1600000US0174688,"Tallassee, AL",4763
1600000US0174976,"Tarrant, AL",6124
1600000US0175096,"Taylor town, AL",2262
1600000US0175768,"Theodore, AL",6270
1600000US0175936,"Thomaston town, AL",326
1600000US0175960,"Thomasville, AL",3649
1600000US0176080,"Thorsby town, AL",2064
1600000US0176200,"Tibbie, AL",55
1600000US0176208,"Tidmore Bend, AL",1119
1600000US0176320,"Tillmans Corner, AL",17731
1600000US0176584,"Town Creek town, AL",1052
1600000US0176632,"Toxey town, AL",145
1600000US0176680,"Trafford town, AL",613
1600000US0176824,"Triana town, AL",2890
1600000US0176872,"Trinity town, AL",2526
1600000US0176920,"Troy, AL",17727
1600000US0176944,"Trussville, AL",26123
1600000US0177256,"Tuscaloosa, AL",99600
1600000US0177280,"Tuscumbia, AL",9054
1600000US0177304,"Tuskegee, AL",9395
1600000US0177352,"Twin town, AL",359
1600000US0177580,"Underwood-Petersville, AL",3051
1600000US0177616,"Union town, AL",180
1600000US0177784,"Union Grove town, AL",67
1600000US0177880,"Union Springs, AL",3358
1600000US0177904,"Uniontown town, AL",2107
1600000US0178120,"Uriah, AL",263
1600000US0178204,"Valley, AL",10529
1600000US0178232,"Valley Grande, AL",4190
1600000US0178240,"Valley Head town, AL",577
1600000US0178264,"Vance town, AL",2092
1600000US0178312,"Vandiver, AL",1084
1600000US0178480,"Vernon, AL",1921
1600000US0178552,"Vestavia Hills, AL",39102
1600000US0178984,"Vina town, AL",325
1600000US0179008,"Vincent town, AL",1982
