Region,Total,TotalUnder5years,Total5to9years,Total10to14years,Total15to19years,Total20to24years,Total25to29years,Total30to34years,Total35to39years,Total40to44years,Total45to49years,Total50to54years,Total55to59years,Total60to64years,Total65to69years,Total70to74years,Total75to79years,Total80to84years,Total85yearsandover,TotalAdults,TotalMedianage,TotalSexratio,TotalAgedependencyratio,TotalOldAgedependencyratio,TotalChilddependencyratio,MaleTotalpopulation,MaleUnder5years,Male5to9years,Male10to14years,Male15to19years,Male20to24years,Male25to29years,Male30to34years,Male35to39years,Male40to44years,Male45to49years,Male50to54years,Male55to59years,Male60to64years,Male65to69years,Male70to74years,Male75to79years,Male80to84years,Male85yearsandover,MaleAdults,MaleMedianage,MaleSexratio,MaleAgedependencyratio,MaleOldAgedependencyratio,MaleChilddependencyratio,PercentMaleTotal,PercentMaleUnder5years,PercentMale5to9years,PercentMale10to14years,PercentMale15to19years,PercentMale20to24years,PercentMale25to29years,PercentMale30to34years,PercentMale35to39years,PercentMale40to44years,PercentMale45to49years,PercentMale50to54years,PercentMale55to59years,PercentMale60to64years,PercentMale65to69years,PercentMale70to74years,PercentMale75to79years,PercentMale80to84years,PercentMale85yearsandover,PercentMaleAdults,PercentMaleMedianage,PercentMaleSexratio,PercentMaleAgedependencyratio,PercentMaleOldAgedependencyratio,PercentMaleChilddependencyratio,FemaleTotal,FemaleUnder5years,Female5to9years,Female10to14years,Female15to19years,Female20to24years,Female25to29years,Female30to34years,Female35to39years,Female40to44years,Female45to49years,Female50to54years,Female55to59years,Female60to64years,Female65to69years,Female70to74years,Female75to79years,Female80to84years,Female85yearsandover,FemaleAdults,FemaleMedianage,FemaleSexratio,FemaleAgedependencyratio,FemaleOldAgedependencyratio,FemaleChilddependencyratio,PercentFemaleTotal,PercentFemaleUnder5years,PercentFemale5to9years,PercentFemale10to14years,PercentFemale15to19years,PercentFemale20to24years,PercentFemale25to29years,PercentFemale30to34years,PercentFemale35to39years,PercentFemale40to44years,PercentFemale45to49years,PercentFemale50to54years,PercentFemale55to59years,PercentFemale60to64years,PercentFemale65to69years,PercentFemale70to74years,PercentFemale75to79years,PercentFemale80to84years,PercentFemale85yearsandover,PercentFemaleAdults,PercentFemaleMedianage,PercentFemaleSexratio,PercentFemaleAgedependencyratio,PercentFemaleOldAgedependencyratio,PercentFemaleChilddependencyratio
Alabama,4893186,293932,294776,315204,321308,323960,334650,307217,301404,293852,308836,316996,331903,321714,273648,217393,145827,101941,88625,3800274,39.2,93.6,64.6,27.8,36.8,2365734,149579,150937,160287,162291,163665,167179,149890,144863,142671,149680,153533,158953,151998,127425,98717,63852,41156,29058,1808099,37.7,,,,,,6.3,6.4,6.8,6.9,6.9,7.1,6.3,6.1,6,6.3,6.5,6.7,6.4,5.4,4.2,2.7,1.7,1.2,76.4,,,,,,2527452,144353,143839,154917,159017,160295,167471,157327,156541,151181,159156,163463,172950,169716,146223,118676,81975,60785,59567,1992175,40.6,,,,,,5.7,5.7,6.1,6.3,6.3,6.6,6.2,6.2,6,6.3,6.5,6.8,6.7,5.8,4.7,3.2,2.4,2.4,78.8,,,,,
Alaska,736990,52302,52825,49395,46257,52775,61328,57278,51647,42647,43836,45215,49124,44732,35771,23573,12932,8472,6881,553631,34.6,109.2,58.2,18.8,39.3,384653,26684,26976,25643,24513,30455,32803,29948,26780,21996,23118,23790,25402,23092,18958,11671,6120,3957,2747,290360,34.1,,,,,,6.9,7,6.7,6.4,7.9,8.5,7.8,7,5.7,6,6.2,6.6,6,4.9,3,1.6,1,0.7,75.5,,,,,,352337,25618,25849,23752,21744,22320,28525,27330,24867,20651,20718,21425,23722,21640,16813,11902,6812,4515,4134,263271,35.2,,,,,,7.3,7.3,6.7,6.2,6.3,8.1,7.8,7.1,5.9,5.9,6.1,6.7,6.1,4.8,3.4,1.9,1.3,1.2,74.7,,,,,
Arizona,7174064,431224,444859,482609,478165,491151,513314,473473,452699,429416,429475,421470,436015,427990,399549,330049,240633,151588,140385,5534419,37.9,98.8,67.9,29.5,38.4,3564979,220346,225723,246866,243721,255949,266718,244743,228667,217678,213739,207757,209429,202288,184892,155977,112626,71372,56488,2728556,36.7,,,,,,6.2,6.3,6.9,6.8,7.2,7.5,6.9,6.4,6.1,6,5.8,5.9,5.7,5.2,4.4,3.2,2,1.6,76.5,,,,,,3609085,210878,219136,235743,234444,235202,246596,228730,224032,211738,215736,213713,226586,225702,214657,174072,128007,80216,83897,2805863,39.3,,,,,,5.8,6.1,6.5,6.5,6.5,6.8,6.3,6.2,5.9,6,5.9,6.3,6.3,5.9,4.8,3.5,2.2,2.3,77.7,,,,,
Arkansas,3011873,188445,194331,200291,200952,201132,203558,191234,189573,181798,182188,184295,195694,188265,167043,129863,94430,59158,59623,2309041,38.3,96.4,67.4,28.4,39.1,1478511,96802,98969,103012,102200,103540,102338,95817,94009,90127,89617,90606,95723,89196,78684,59448,42409,25072,20942,1118805,36.9,,,,,,6.5,6.7,7,6.9,7,6.9,6.5,6.4,6.1,6.1,6.1,6.5,6,5.3,4,2.9,1.7,1.4,75.7,,,,,,1533362,91643,95362,97279,98752,97592,101220,95417,95564,91671,92571,93689,99971,99069,88359,70415,52021,34086,38681,1190236,39.7,,,,,,6,6.2,6.3,6.4,6.4,6.6,6.2,6.2,6,6,6.1,6.5,6.5,5.8,4.6,3.4,2.2,2.5,77.6,,,,,
California,39346023,2409082,2431647,2597443,2548072,2694636,3084036,2923877,2710180,2523723,2537197,2501958,2485487,2254188,1865387,1404993,951622,657751,764744,30389382,36.7,98.9,59,22.8,36.2,19562882,1233088,1242495,1328272,1300581,1388360,1594429,1505530,1377089,1265725,1264479,1245267,1216743,1089379,878068,643905,427222,278926,283324,14984186,35.6,,,,,,6.3,6.4,6.8,6.6,7.1,8.2,7.7,7,6.5,6.5,6.4,6.2,5.6,4.5,3.3,2.2,1.4,1.4,76.6,,,,,,19783141,1175994,1189152,1269171,1247491,1306276,1489607,1418347,1333091,1257998,1272718,1256691,1268744,1164809,987319,761088,524400,378825,481420,15405196,37.9,,,,,,5.9,6,6.4,6.3,6.6,7.5,7.2,6.7,6.4,6.4,6.4,6.4,5.9,5,3.8,2.7,1.9,2.4,77.9,,,,,
Colorado,5684926,330939,348555,364153,362041,378484,449799,442474,410075,372950,363217,346765,370274,336863,289442,211526,131069,82872,93428,4425895,36.9,101.4,57.1,22.3,34.8,2862153,168650,177258,187579,187068,197825,235076,231592,211213,191858,185226,173459,182552,162930,138142,100887,61043,35581,34214,2218147,36,,,,,,5.9,6.2,6.6,6.5,6.9,8.2,8.1,7.4,6.7,6.5,6.1,6.4,5.7,4.8,3.5,2.1,1.2,1.2,77.5,,,,,,2822773,162289,171297,176574,174973,180659,214723,210882,198862,181092,177991,173306,187722,173933,151300,110639,70026,47291,59214,2207748,37.9,,,,,,5.7,6.1,6.3,6.2,6.4,7.6,7.5,7,6.4,6.3,6.1,6.7,6.2,5.4,3.9,2.5,1.7,2.1,78.2,,,,,
Connecticut,3570549,182708,192321,221648,241286,243381,222305,221612,213964,212133,233980,259206,267164,243375,193132,152275,103353,72556,94150,2834965,41.1,95.2,60.9,27.7,33.1,1741688,93725,97435,113376,123304,125316,114689,110988,104519,104625,113333,125579,129101,117487,90446,70100,45954,29534,32177,1365953,39.4,,,,,,5.4,5.6,6.5,7.1,7.2,6.6,6.4,6,6,6.5,7.2,7.4,6.7,5.2,4,2.6,1.7,1.8,78.4,,,,,,1828861,88983,94886,108272,117982,118065,107616,110624,109445,107508,120647,133627,138063,125888,102686,82175,57399,43022,61973,1469012,42.7,,,,,,4.9,5.2,5.9,6.5,6.5,5.9,6,6,5.9,6.6,7.3,7.5,6.9,5.6,4.5,3.1,2.4,3.4,80.3,,,,,
Delaware,967679,54774,55329,59081,60143,58482,66200,62526,56984,54989,57853,64029,68761,66504,61528,47443,33937,20273,18843,763472,41,93.6,66.4,31.3,35.1,467720,27809,27824,30047,30165,29779,33274,31190,28422,26226,27848,30577,33766,29592,27772,22363,15059,8782,7225,364320,39.1,,,,,,5.9,5.9,6.4,6.4,6.4,7.1,6.7,6.1,5.6,6,6.5,7.2,6.3,5.9,4.8,3.2,1.9,1.5,77.9,,,,,,499959,26965,27505,29034,29978,28703,32926,31336,28562,28763,30005,33452,34995,36912,33756,25080,18878,11491,11618,399152,42.9,,,,,,5.4,5.5,5.8,6,5.7,6.6,6.3,5.7,5.8,6,6.7,7,7.4,6.8,5,3.8,2.3,2.3,79.8,,,,,
District of Columbia,701974,44913,35069,30443,36863,52700,83125,80773,61879,44118,38775,37072,36289,34043,28175,21256,15324,9887,11270,575926,34.1,90.3,43.3,17.5,25.7,333137,22906,18008,14986,17013,24227,38336,38702,30589,21555,19464,18632,18823,14685,12318,9092,6202,3779,3820,269436,34,,,,,,6.9,5.4,4.5,5.1,7.3,11.5,11.6,9.2,6.5,5.8,5.6,5.7,4.4,3.7,2.7,1.9,1.1,1.1,80.9,,,,,,368837,22007,17061,15457,19850,28473,44789,42071,31290,22563,19311,18440,17466,19358,15857,12164,9122,6108,7450,306490,34.2,,,,,,6,4.6,4.2,5.4,7.7,12.1,11.4,8.5,6.1,5.2,5,4.7,5.2,4.3,3.3,2.5,1.7,2,83.1,,,,,
Florida,21216924,1133390,1133024,1221553,1209024,1264607,1410790,1355701,1303984,1263774,1336668,1397101,1467493,1371903,1296374,1097330,826093,549971,578144,17002480,42.2,95.7,67.7,34.4,33.3,10374594,578848,577895,624383,619298,646059,718705,685800,648717,626767,658293,683667,698670,646175,599193,506423,385828,243114,226759,8222799,40.6,,,,,,5.6,5.6,6,6,6.2,6.9,6.6,6.3,6,6.3,6.6,6.7,6.2,5.8,4.9,3.7,2.3,2.2,79.3,,,,,,10842330,554542,555129,597170,589726,618548,692085,669901,655267,637007,678375,713434,768823,725728,697181,590907,440265,306857,351385,8779681,43.8,,,,,,5.1,5.1,5.5,5.4,5.7,6.4,6.2,6,5.9,6.3,6.6,7.1,6.7,6.4,5.5,4.1,2.8,3.2,81,,,,,
Georgia,10516579,652085,682719,734671,735465,715214,754957,708753,707148,677066,708864,695273,679398,605605,509703,388897,257396,156140,147225,8011265,36.9,94.7,60.5,22.3,38.2,5113936,332899,347193,374740,373880,365802,377040,346993,340070,329163,343311,337736,326550,283662,233255,174905,114003,62966,49768,3837513,35.5,,,,,,6.5,6.8,7.3,7.3,7.2,7.4,6.8,6.6,6.4,6.7,6.6,6.4,5.5,4.6,3.4,2.2,1.2,1,75,,,,,,5402643,319186,335526,359931,361585,349412,377917,361760,367078,347903,365553,357537,352848,321943,276448,213992,143393,93174,97457,4173752,38.2,,,,,,5.9,6.2,6.7,6.7,6.5,7,6.7,6.8,6.4,6.8,6.6,6.5,6,5.1,4,2.7,1.7,1.8,77.3,,,,,
Hawaii,1420074,88179,84349,83438,76036,91649,103408,99310,94153,85949,85282,86101,90656,90357,85461,62589,42927,29901,40329,1117827,39.4,100.6,65.8,30.5,35.3,712250,45684,43219,43071,39149,50862,54771,51120,47728,43769,42801,42767,45025,43874,40939,30551,20200,12428,14292,556596,37.9,,,,,,6.4,6.1,6,5.5,7.1,7.7,7.2,6.7,6.1,6,6,6.3,6.2,5.7,4.3,2.8,1.7,2,78.1,,,,,,707824,42495,41130,40367,36887,40787,48637,48190,46425,42180,42481,43334,45631,46483,44522,32038,22727,17473,26037,561231,41,,,,,,6,5.8,5.7,5.2,5.8,6.9,6.8,6.6,6,6,6.1,6.4,6.6,6.3,4.5,3.2,2.5,3.7,79.3,,,,,
Idaho,1754367,114332,123732,129697,124202,117060,117033,112615,116739,105107,101652,99657,108611,106186,96201,72376,49117,31117,28933,1309769,36.6,100.6,70,26.9,43.1,879763,58510,62981,67028,63577,60985,60113,56531,59079,53122,51615,49933,53709,51322,46756,35469,22995,14887,11151,651810,35.9,,,,,,6.7,7.2,7.6,7.2,6.9,6.8,6.4,6.7,6,5.9,5.7,6.1,5.8,5.3,4,2.6,1.7,1.3,74.1,,,,,,874604,55822,60751,62669,60625,56075,56920,56084,57660,51985,50037,49724,54902,54864,49445,36907,26122,16230,17782,657959,37.4,,,,,,6.4,6.9,7.2,6.9,6.4,6.5,6.4,6.6,5.9,5.7,5.7,6.3,6.3,5.7,4.2,3,1.9,2,75.2,,,,,
Illinois,12716164,755518,768804,829779,831088,844275,896223,867606,839805,798895,812261,824731,864033,792720,655217,491424,340718,232299,270768,9860731,38.3,96.6,61.6,25.3,36.3,6247083,386330,390928,424337,424571,428598,453733,438304,419093,399695,402261,406902,422926,380611,307276,226046,149638,95102,90732,4789667,37,,,,,,6.2,6.3,6.8,6.8,6.9,7.3,7,6.7,6.4,6.4,6.5,6.8,6.1,4.9,3.6,2.4,1.5,1.5,76.7,,,,,,6469081,369188,377876,405442,406517,415677,442490,429302,420712,399200,410000,417829,441107,412109,347941,265378,191080,137197,180036,5071064,39.6,,,,,,5.7,5.8,6.3,6.3,6.4,6.8,6.6,6.5,6.2,6.3,6.5,6.8,6.4,5.4,4.1,3,2.1,2.8,78.4,,,,,
Indiana,6696893,418127,432745,447994,458933,472914,453403,423756,426145,398193,415862,424427,451408,422160,355703,260233,180165,118236,136489,5125880,37.8,97.2,64.3,25.8,38.6,3300350,214772,220581,229846,235099,242614,228778,212627,212501,197754,208074,210066,221612,203339,168446,119766,79716,48910,45849,2495915,36.5,,,,,,6.5,6.7,7,7.1,7.4,6.9,6.4,6.4,6,6.3,6.4,6.7,6.2,5.1,3.6,2.4,1.5,1.4,75.6,,,,,,3396543,203355,212164,218148,223834,230300,224625,211129,213644,200439,207788,214361,229796,218821,187257,140467,100449,69326,90640,2629965,39.1,,,,,,6,6.2,6.4,6.6,6.8,6.6,6.2,6.3,5.9,6.1,6.3,6.8,6.4,5.5,4.1,3,2,2.7,77.4,,,,,
Iowa,3150011,195462,202924,207247,212565,226949,201775,195016,203311,177959,181224,191452,212619,204107,172294,128316,90789,66645,79357,2421524,38.3,98.7,67.2,28.5,38.7,1564436,99212,104497,104548,109016,117537,103087,99192,104699,89570,91013,96172,104393,101127,83943,60915,39999,27814,27702,1193064,37.2,,,,,,6.3,6.7,6.7,7,7.5,6.6,6.3,6.7,5.7,5.8,6.1,6.7,6.5,5.4,3.9,2.6,1.8,1.8,76.3,,,,,,1585575,96250,98427,102699,103549,109412,98688,95824,98612,88389,90211,95280,108226,102980,88351,67401,50790,38831,51655,1228460,39.4,,,,,,6.1,6.2,6.5,6.5,6.9,6.2,6,6.2,5.6,5.7,6,6.8,6.5,5.6,4.3,3.2,2.4,3.3,77.5,,,,,
Kansas,2912619,188853,198299,199871,199839,213767,194276,188104,187801,169515,166116,171882,190126,183253,153288,110071,76878,53959,66721,2206647,36.9,99.4,66.8,26.4,40.4,1451919,97052,102169,101535,102620,112494,101108,95301,95552,85333,83951,85516,93573,88890,75026,51331,34534,22178,23756,1090091,35.7,,,,,,6.7,7,7,7.1,7.7,7,6.6,6.6,5.9,5.8,5.9,6.4,6.1,5.2,3.5,2.4,1.5,1.6,75.1,,,,,,1460700,91801,96130,98336,97219,101273,93168,92803,92249,84182,82165,86366,96553,94363,78262,58740,42344,31781,42965,1116556,38.2,,,,,,6.3,6.6,6.7,6.7,6.9,6.4,6.4,6.3,5.8,5.6,5.9,6.6,6.5,5.4,4,2.9,2.2,2.9,76.4,,,,,
Kentucky,4461952,273575,275013,287569,289726,301578,303963,277893,278142,274421,283478,291770,305841,289055,249468,187814,129196,85062,78388,3454333,39,97,63.8,26.8,37,2196522,140510,142570,144984,148480,156347,154870,139475,137776,137555,140965,143520,149163,137301,117818,86796,57944,33429,27019,1679985,37.6,,,,,,6.4,6.5,6.6,6.8,7.1,7.1,6.3,6.3,6.3,6.4,6.5,6.8,6.3,5.4,4,2.6,1.5,1.2,76.5,,,,,,2265430,133065,132443,142585,141246,145231,149093,138418,140366,136866,142513,148250,156678,151754,131650,101018,71252,51633,51369,1774348,40.4,,,,,,5.9,5.8,6.3,6.2,6.4,6.6,6.1,6.2,6,6.3,6.5,6.9,6.7,5.8,4.5,3.1,2.3,2.3,78.3,,,,,
Louisiana,4664616,304900,298471,312848,297473,311404,339728,326103,315821,271441,274557,288735,306299,297292,247382,184434,127598,80421,79709,3567057,37.2,95.4,63.8,25.3,38.5,2276932,154658,151469,159860,152370,158055,170466,162042,156622,133843,133899,139595,147572,140615,114973,85309,56262,32857,26465,1718357,35.9,,,,,,6.8,6.7,7,6.7,6.9,7.5,7.1,6.9,5.9,5.9,6.1,6.5,6.2,5,3.7,2.5,1.4,1.2,75.5,,,,,,2387684,150242,147002,152988,145103,153349,169262,164061,159199,137598,140658,149140,158727,156677,132409,99125,71336,47564,53244,1848700,38.4,,,,,,6.3,6.2,6.4,6.1,6.4,7.1,6.9,6.7,5.8,5.9,6.2,6.6,6.6,5.5,4.2,3,2,2.2,77.4,,,,,
Maine,1340825,63988,69048,72211,78076,75117,80364,80556,77768,76088,85408,94872,106687,104075,94309,70157,46261,31420,34420,1089858,44.8,96,64.9,34,30.9,656628,33077,35428,37278,39985,38554,40565,40190,38188,37301,42034,46530,50814,50791,45320,33598,21212,13560,12203,527466,43.4,,,,,,5,5.4,5.7,6.1,5.9,6.2,6.1,5.8,5.7,6.4,7.1,7.7,7.7,6.9,5.1,3.2,2.1,1.9,80.3,,,,,,684197,30911,33620,34933,38091,36563,39799,40366,39580,38787,43374,48342,55873,53284,48989,36559,25049,17860,22217,562392,46.2,,,,,,4.5,4.9,5.1,5.6,5.3,5.8,5.9,5.8,5.7,6.3,7.1,8.2,7.8,7.2,5.3,3.7,2.6,3.2,82.2,,,,,
Maryland,6037624,363618,368569,380896,381735,378108,412930,416473,407787,368271,394935,422366,426651,384410,312138,234616,160527,105809,117785,4696858,38.8,94,60.3,24.7,35.6,2925644,185539,187164,195382,194226,191996,207639,205454,199596,178271,190518,202259,202131,182864,143985,104933,69600,44054,40033,2241739,37.3,,,,,,6.3,6.4,6.7,6.6,6.6,7.1,7,6.8,6.1,6.5,6.9,6.9,6.3,4.9,3.6,2.4,1.5,1.4,76.6,,,,,,3111980,178079,181405,185514,187509,186112,205291,211019,208191,190000,204417,220107,224520,201546,168153,129683,90927,61755,77752,2455119,40.3,,,,,,5.7,5.8,6,6,6,6.6,6.8,6.7,6.1,6.6,7.1,7.2,6.5,5.4,4.2,2.9,2,2.5,78.9,,,,,
Massachusetts,6873003,358030,362203,395058,453990,488391,502183,482023,431901,409812,440331,477200,491047,444268,368510,284983,188503,129549,165021,5511033,39.6,94.3,57.1,26,31.1,3335992,182942,183834,203007,227659,243408,253724,240304,212276,201130,213584,231612,237637,211822,172791,129408,81112,53659,56083,2640260,38,,,,,,5.5,5.5,6.1,6.8,7.3,7.6,7.2,6.4,6,6.4,6.9,7.1,6.3,5.2,3.9,2.4,1.6,1.7,79.1,,,,,,3537011,175088,178369,192051,226331,244983,248459,241719,219625,208682,226747,245588,253410,232446,195719,155575,107391,75890,108938,2870773,40.9,,,,,,5,5,5.4,6.4,6.9,7,6.8,6.2,5.9,6.4,6.9,7.2,6.6,5.5,4.4,3,2.1,3.1,81.2,,,,,
Michigan,9973907,568326,584830,620965,653867,692245,681417,607208,597347,568240,625249,663337,711025,687010,574807,432985,290291,193922,220836,7812144,39.8,97,63.5,28.1,35.4,4911965,290604,298513,319288,334624,354027,348409,305805,297200,282120,309068,327077,345199,334261,275433,200211,130430,82412,77284,3804719,38.4,,,,,,5.9,6.1,6.5,6.8,7.2,7.1,6.2,6.1,5.7,6.3,6.7,7,6.8,5.6,4.1,2.7,1.7,1.6,77.5,,,,,,5061942,277722,286317,301677,319243,338218,333008,301403,300147,286120,316181,336260,365826,352749,299374,232774,159861,111510,143552,4007425,41.3,,,,,,5.5,5.7,6,6.3,6.7,6.6,6,5.9,5.7,6.2,6.6,7.2,7,5.9,4.6,3.2,2.2,2.8,79.2,,,,,
Minnesota,5600166,351104,361714,369207,358262,357441,375462,384571,377006,333979,335125,357152,394447,357120,297786,213341,150090,103849,122510,4300882,38.1,99.2,64.1,26,38.1,2789017,179597,185605,187747,182737,181073,192527,195965,191051,169916,169209,178697,195467,176527,144065,102216,68290,44159,44169,2125244,37.3,,,,,,6.4,6.7,6.7,6.6,6.5,6.9,7,6.9,6.1,6.1,6.4,7,6.3,5.2,3.7,2.4,1.6,1.6,76.2,,,,,,2811149,171507,176109,181460,175525,176368,182935,188606,185955,164063,165916,178455,198980,180593,153721,111125,81800,59690,78341,2175638,39,,,,,,6.1,6.3,6.5,6.2,6.3,6.5,6.7,6.6,5.8,5.9,6.3,7.1,6.4,5.5,4,2.9,2.1,2.8,77.4,,,,,
Mississippi,2981835,185274,191951,208237,208127,205134,202813,183312,194053,177339,182480,185467,194067,189311,159577,123367,85578,54067,51681,2274614,37.7,93.9,65.6,26.3,39.3,1443708,94834,96454,107495,105195,104936,100791,89266,92903,87120,87401,89577,91158,90060,74135,56719,37773,21060,16831,1083183,36.3,,,,,,6.6,6.7,7.4,7.3,7.3,7,6.2,6.4,6,6.1,6.2,6.3,6.2,5.1,3.9,2.6,1.5,1.2,75,,,,,,1538127,90440,95497,100742,102932,100198,102022,94046,101150,90219,95079,95890,102909,99251,85442,66648,47805,33007,34850,1191431,39,,,,,,5.9,6.2,6.5,6.7,6.5,6.6,6.1,6.6,5.9,6.2,6.2,6.7,6.5,5.6,4.3,3.1,2.1,2.3,77.5,,,,,
Missouri,6124160,371046,374685,397010,396255,408372,419089,399955,389985,355804,367006,385639,425835,400095,335264,260506,184132,123437,130045,4744737,38.7,96.3,65,27.8,37.2,3004001,190192,193222,201776,203346,208191,210519,199715,195339,176313,180906,189276,206228,192810,157494,120016,81086,50984,46588,2297802,37.4,,,,,,6.3,6.4,6.7,6.8,6.9,7,6.6,6.5,5.9,6,6.3,6.9,6.4,5.2,4,2.7,1.7,1.6,76.5,,,,,,3120159,180854,181463,195234,192909,200181,208570,200240,194646,179491,186100,196363,219607,207285,177770,140490,103046,72453,83457,2446935,40.2,,,,,,5.8,5.8,6.3,6.2,6.4,6.7,6.4,6.2,5.8,6,6.3,7,6.6,5.7,4.5,3.3,2.3,2.7,78.4,,,,,
Montana,1061705,61338,62765,66123,64483,72308,69366,67159,66486,61183,58943,61665,74216,77551,68600,51184,35767,21283,21285,833116,40.1,101.2,67.2,31.2,36,534128,31867,32075,33972,33710,37918,35973,33941,34045,31284,29889,30757,36001,37895,33527,26040,17387,9833,8014,416598,39,,,,,,6,6,6.4,6.3,7.1,6.7,6.4,6.4,5.9,5.6,5.8,6.7,7.1,6.3,4.9,3.3,1.8,1.5,78,,,,,,527577,29471,30690,32151,30773,34390,33393,33218,32441,29899,29054,30908,38215,39656,35073,25144,18380,11450,13271,416518,41.1,,,,,,5.6,5.8,6.1,5.8,6.5,6.3,6.3,6.1,5.7,5.5,5.9,7.2,7.5,6.6,4.8,3.5,2.2,2.5,78.9,,,,,
Nebraska,1923826,130742,132038,134239,131348,135919,127694,127747,128409,111203,108482,111990,121405,120579,100060,71827,50033,37122,42989,1448723,36.6,99.5,67.8,26.3,41.4,959677,67204,67732,68640,67506,69474,65576,65418,64793,56931,55152,56421,60113,59082,48094,34055,22852,15752,14882,715674,35.7,,,,,,7,7.1,7.2,7,7.2,6.8,6.8,6.8,5.9,5.7,5.9,6.3,6.2,5,3.5,2.4,1.6,1.6,74.6,,,,,,964149,63538,64306,65599,63842,66445,62118,62329,63616,54272,53330,55569,61292,61497,51966,37772,27181,21370,28107,733049,37.6,,,,,,6.6,6.7,6.8,6.6,6.9,6.4,6.5,6.6,5.6,5.5,5.8,6.4,6.4,5.4,3.9,2.8,2.2,2.9,76,,,,,
Nevada,3030281,184141,188497,200113,181129,182581,225061,218691,206217,196878,199256,194479,196759,178459,163738,131291,87253,50385,45353,2342768,38.2,100.7,62.5,25.6,36.9,1520196,93906,96280,102373,93440,93323,114492,111963,106157,97806,100826,98688,97101,88139,78621,63097,41653,24132,18199,1168925,37.5,,,,,,6.2,6.3,6.7,6.1,6.1,7.5,7.4,7,6.4,6.6,6.5,6.4,5.8,5.2,4.2,2.7,1.6,1.2,76.9,,,,,,1510085,90235,92217,97740,87689,89258,110569,106728,100060,99072,98430,95791,99658,90320,85117,68194,45600,26253,27154,1173843,38.9,,,,,,6,6.1,6.5,5.8,5.9,7.3,7.1,6.6,6.6,6.5,6.3,6.6,6,5.6,4.5,3,1.7,1.8,77.7,,,,,
New Hampshire,1355244,63677,69106,76652,85727,88920,85407,83760,77839,77666,88925,100883,111648,99892,83877,63716,40968,26669,29912,1097513,43,98.3,59,28.8,30.2,671802,32317,36222,38683,43550,45658,44911,42684,38942,38708,44121,49868,55395,48604,40867,30387,18677,11573,10635,539775,41.7,,,,,,4.8,5.4,5.8,6.5,6.8,6.7,6.4,5.8,5.8,6.6,7.4,8.2,7.2,6.1,4.5,2.8,1.7,1.6,80.3,,,,,,683442,31360,32884,37969,42177,43262,40496,41076,38897,38958,44804,51015,56253,51288,43010,33329,22291,15096,19277,557738,44.3,,,,,,4.6,4.8,5.6,6.2,6.3,5.9,6,5.7,5.7,6.6,7.5,8.2,7.5,6.3,4.9,3.3,2.2,2.8,81.6,,,,,
New Jersey,8885418,518349,531590,560366,556125,549487,573585,571704,580195,555976,599016,634130,640553,571404,457935,357768,251342,171647,204246,6931965,40,95.5,61.9,26.3,35.6,4341123,265107,271720,285156,285742,279590,293236,288783,286379,277182,293213,308197,310100,274582,212360,162636,108353,70336,68451,3343761,38.5,,,,,,6.1,6.3,6.6,6.6,6.4,6.8,6.7,6.6,6.4,6.8,7.1,7.1,6.3,4.9,3.7,2.5,1.6,1.6,77,,,,,,4544295,253242,259870,275210,270383,269897,280349,282921,293816,278794,305803,325933,330453,296822,245575,195132,142989,101311,135795,3588204,41.5,,,,,,5.6,5.7,6.1,5.9,5.9,6.2,6.2,6.5,6.1,6.7,7.2,7.3,6.5,5.4,4.3,3.1,2.2,3,79,,,,,
New Mexico,2097021,122993,132557,144248,139238,142687,144190,138706,133699,120474,117993,122529,137027,135780,122972,94647,62670,42831,41780,1613567,38.1,98,67.9,29.2,38.7,1038007,62616,67582,73638,71673,74494,74404,71420,68281,59440,58290,59624,64849,65270,57376,45079,28794,18838,16339,791301,36.6,,,,,,6,6.5,7.1,6.9,7.2,7.2,6.9,6.6,5.7,5.6,5.7,6.2,6.3,5.5,4.3,2.8,1.8,1.6,76.2,,,,,,1059014,60377,64975,70610,67565,68193,69786,67286,65418,61034,59703,62905,72178,70510,65596,49568,33876,23993,25441,822266,39.6,,,,,,5.7,6.1,6.7,6.4,6.4,6.6,6.4,6.2,5.8,5.6,5.9,6.8,6.7,6.2,4.7,3.2,2.3,2.4,77.6,,,,,
New York,19514849,1140669,1089889,1147406,1192954,1294774,1472472,1392886,1260649,1168308,1233246,1315467,1343949,1240478,1024828,794213,551826,385846,464989,15443707,39,94.4,59.7,26.4,33.3,9474184,583126,556290,587601,606609,647653,737150,696927,621265,575624,601175,637615,648637,589197,475354,358739,239154,153786,158282,7392810,37.5,,,,,,6.2,5.9,6.2,6.4,6.8,7.8,7.4,6.6,6.1,6.3,6.7,6.8,6.2,5,3.8,2.5,1.6,1.7,78,,,,,,10040665,557543,533599,559805,586345,647121,735322,695959,639384,592684,632071,677852,695312,651281,549474,435474,312672,232060,306707,8050897,40.5,,,,,,5.6,5.3,5.6,5.8,6.4,7.3,6.9,6.4,5.9,6.3,6.8,6.9,6.5,5.5,4.3,3.1,2.3,3.1,80.2,,,,,
