Region,Total,TotalUnder5years,Total5to9years,Total10to14years,Total15to19years,Total20to24years,Total25to29years,Total30to34years,Total35to39years,Total40to44years,Total45to49years,Total50to54years,Total55to59years,Total60to64years,Total65to69years,Total70to74years,Total75to79years,Total80to84years,Total85yearsandover,TotalAdults,TotalMedianage,TotalSexratio,TotalAgedependencyratio,TotalOldAgedependencyratio,TotalChilddependencyratio,MaleTotalpopulation,MaleUnder5years,Male5to9years,Male10to14years,Male15to19years,Male20to24years,Male25to29years,Male30to34years,Male35to39years,Male40to44years,Male45to49years,Male50to54years,Male55to59years,Male60to64years,Male65to69years,Male70to74years,Male75to79years,Male80to84years,Male85yearsandover,MaleAdults,MaleMedianage,MaleSexratio,MaleAgedependencyratio,MaleOldAgedependencyratio,MaleChilddependencyratio,PercentMaleTotal,PercentMaleUnder5years,PercentMale5to9years,PercentMale10to14years,PercentMale15to19years,PercentMale20to24years,PercentMale25to29years,PercentMale30to34years,PercentMale35to39years,PercentMale40to44years,PercentMale45to49years,PercentMale50to54years,PercentMale55to59years,PercentMale60to64years,PercentMale65to69years,PercentMale70to74years,PercentMale75to79years,PercentMale80to84years,PercentMale85yearsandover,PercentMaleAdults,PercentMaleMedianage,PercentMaleSexratio,PercentMaleAgedependencyratio,PercentMaleOldAgedependencyratio,PercentMaleChilddependencyratio,FemaleTotal,FemaleUnder5years,Female5to9years,Female10to14years,Female15to19years,Female20to24years,Female25to29years,Female30to34years,Female35to39years,Female40to44years,Female45to49years,Female50to54years,Female55to59years,Female60to64years,Female65to69years,Female70to74years,Female75to79years,Female80to84years,Female85yearsandover,FemaleAdults,FemaleMedianage,FemaleSexratio,FemaleAgedependencyratio,FemaleOldAgedependencyratio,FemaleChilddependencyratio,PercentFemaleTotal,PercentFemaleUnder5years,PercentFemale5to9years,PercentFemale10to14years,PercentFemale15to19years,PercentFemale20to24years,PercentFemale25to29years,PercentFemale30to34years,PercentFemale35to39years,PercentFemale40to44years,PercentFemale45to49years,PercentFemale50to54years,PercentFemale55to59years,PercentFemale60to64years,PercentFemale65to69years,PercentFemale70to74years,PercentFemale75to79years,PercentFemale80to84years,PercentFemale85yearsandover,PercentFemaleAdults,PercentFemaleMedianage,PercentFemaleSexratio,PercentFemaleAgedependencyratio,PercentFemaleOldAgedependencyratio,PercentFemaleChilddependencyratio
"Farmington, NM",125608,8317,8818,10444,8876,7550,8780,8449,7820,7950,6818,7033,8039,8115,6219,4710,3185,2020,2465,92293,36.1,97.9,70.4,25.2,45.2,62136,4237,4531,5268,4499,3819,4447,4305,3978,3933,3352,3423,4158,3839,2874,2278,1376,849,970,45230,35,,,,,,6.8,7.3,8.5,7.2,6.1,7.2,6.9,6.4,6.3,5.4,5.5,6.7,6.2,4.6,3.7,2.2,1.4,1.6,72.8,,,,,,63472,4080,4287,5176,4377,3731,4333,4144,3842,4017,3466,3610,3881,4276,3345,2432,1809,1171,1495,47063,36.9,,,,,,6.4,6.8,8.2,6.9,5.9,6.8,6.5,6.1,6.3,5.5,5.7,6.1,6.7,5.3,3.8,2.9,1.8,2.4,74.1,,,,,
"Fayetteville, NC",523480,39718,37840,35033,35385,45005,47356,40781,34707,30995,29255,29250,29723,26170,21740,15819,10484,7597,6622,390772,32.5,98.4,59.3,19,40.4,259652,20273,19328,17776,18537,25973,25203,20501,16727,15228,13849,13754,13810,12078,9811,7285,4236,3091,2192,192073,30.7,,,,,,7.8,7.4,6.8,7.1,10,9.7,7.9,6.4,5.9,5.3,5.3,5.3,4.7,3.8,2.8,1.6,1.2,0.8,74,,,,,,263828,19445,18512,17257,16848,19032,22153,20280,17980,15767,15406,15496,15913,14092,11929,8534,6248,4506,4430,198699,34.6,,,,,,7.4,7,6.5,6.4,7.2,8.4,7.7,6.8,6,5.8,5.9,6,5.3,4.5,3.2,2.4,1.7,1.7,75.3,,,,,
"Fayetteville-Springdale-Rogers, AR",526101,36146,37787,37249,38740,41181,39807,38321,36629,35286,32614,29479,29566,25789,24087,15848,12949,7539,7084,392979,34.2,99.7,61.6,20.7,40.9,262642,18929,19178,19141,19258,21231,20496,19618,18897,17668,16439,14774,14638,12246,12058,6480,5755,3344,2492,194304,33.3,,,,,,7.2,7.3,7.3,7.3,8.1,7.8,7.5,7.2,6.7,6.3,5.6,5.6,4.7,4.6,2.5,2.2,1.3,0.9,74,,,,,,263459,17217,18609,18108,19482,19950,19311,18703,17732,17618,16175,14705,14928,13543,12029,9368,7194,4195,4592,198675,35.1,,,,,,6.5,7.1,6.9,7.4,7.6,7.3,7.1,6.7,6.7,6.1,5.6,5.7,5.1,4.6,3.6,2.7,1.6,1.7,75.4,,,,,
"Fergus Falls, MN",58416,3403,3654,3517,3281,2886,2648,2948,2991,2961,2881,3832,4744,4768,4414,3249,2308,1844,2087,45730,46.8,101.1,83.5,43.7,39.9,29371,1755,1886,1813,1746,1460,1383,1539,1368,1620,1465,1953,2305,2464,2206,1694,1059,746,909,22829,45.4,,,,,,6,6.4,6.2,5.9,5,4.7,5.2,4.7,5.5,5,6.6,7.8,8.4,7.5,5.8,3.6,2.5,3.1,77.7,,,,,,29045,1648,1768,1704,1535,1426,1265,1409,1623,1341,1416,1879,2439,2304,2208,1555,1249,1098,1178,22901,48,,,,,,5.7,6.1,5.9,5.3,4.9,4.4,4.9,5.6,4.6,4.9,6.5,8.4,7.9,7.6,5.4,4.3,3.8,4.1,78.8,,,,,
"Fernley, NV",55667,2922,3555,3163,3266,2459,3498,3352,3084,3551,3408,3392,4076,4163,4008,3574,2207,1195,794,43871,43.9,101.3,73.5,36.7,36.8,28011,1407,1899,1560,1403,1246,1859,1782,1468,1886,1752,1684,2132,2063,1873,1919,1093,606,379,22256,43.7,,,,,,5,6.8,5.6,5,4.4,6.6,6.4,5.2,6.7,6.3,6,7.6,7.4,6.7,6.9,3.9,2.2,1.4,79.5,,,,,,27656,1515,1656,1603,1863,1213,1639,1570,1616,1665,1656,1708,1944,2100,2135,1655,1114,589,415,21615,44.1,,,,,,5.5,6,5.8,6.7,4.4,5.9,5.7,5.8,6,6,6.2,7,7.6,7.7,6,4,2.1,1.5,78.2,,,,,
"Findlay, OH",75765,4513,4683,4680,5066,4692,5308,5076,4750,4105,4697,4772,5804,4592,4247,3142,2241,1508,1889,58959,39.3,97.2,65,28.4,36.6,37353,2144,2510,2231,2552,2381,2720,2620,2427,2014,2389,2455,3003,2162,2000,1515,932,766,532,28948,37.8,,,,,,5.7,6.7,6,6.8,6.4,7.3,7,6.5,5.4,6.4,6.6,8,5.8,5.4,4.1,2.5,2.1,1.4,77.5,,,,,,38412,2369,2173,2449,2514,2311,2588,2456,2323,2091,2308,2317,2801,2430,2247,1627,1309,742,1357,30011,40,,,,,,6.2,5.7,6.4,6.5,6,6.7,6.4,6,5.4,6,6,7.3,6.3,5.8,4.2,3.4,1.9,3.5,78.1,,,,,
"Fitzgerald, GA",16889,1019,683,1506,1449,885,1012,811,1155,945,999,1204,1243,1085,943,806,604,203,337,12693,39.5,94.8,72.3,29.5,42.8,8218,503,435,792,888,467,400,344,555,498,474,627,628,443,331,425,238,90,80,5864,36.8,,,,,,6.1,5.3,9.6,10.8,5.7,4.9,4.2,6.8,6.1,5.8,7.6,7.6,5.4,4,5.2,2.9,1.1,1,71.4,,,,,,8671,516,248,714,561,418,612,467,600,447,525,577,615,642,612,381,366,113,257,6829,41.9,,,,,,6,2.9,8.2,6.5,4.8,7.1,5.4,6.9,5.2,6.1,6.7,7.1,7.4,7.1,4.4,4.2,1.3,3,78.8,,,,,
"Flagstaff, AZ",142254,7631,7254,9112,16981,16962,11048,8714,8238,7325,7214,7374,8420,8026,6777,4806,3287,1749,1336,113214,31,97.2,49.3,18.8,30.5,70124,3905,3803,4614,6911,8996,5805,4524,4128,3757,3639,3597,3829,4017,3194,2565,1513,871,456,55156,30.9,,,,,,5.6,5.4,6.6,9.9,12.8,8.3,6.5,5.9,5.4,5.2,5.1,5.5,5.7,4.6,3.7,2.2,1.2,0.7,78.7,,,,,,72130,3726,3451,4498,10070,7966,5243,4190,4110,3568,3575,3777,4591,4009,3583,2241,1774,878,880,58058,31,,,,,,5.2,4.8,6.2,14,11,7.3,5.8,5.7,4.9,5,5.2,6.4,5.6,5,3.1,2.5,1.2,1.2,80.5,,,,,
"Flint, MI",406770,23961,25056,26363,25891,25468,26918,22945,24670,22911,26208,27387,29869,28188,23812,17556,11846,8590,9131,314958,40.5,93.1,66.7,29.1,37.6,196149,12220,12591,13774,13299,12790,13191,11112,11825,10975,12587,13242,14078,13491,11035,7982,5635,3406,2916,149171,38.8,,,,,,6.2,6.4,7,6.8,6.5,6.7,5.7,6,5.6,6.4,6.8,7.2,6.9,5.6,4.1,2.9,1.7,1.5,76,,,,,,210621,11741,12465,12589,12592,12678,13727,11833,12845,11936,13621,14145,15791,14697,12777,9574,6211,5184,6215,165787,42.3,,,,,,5.6,5.9,6,6,6,6.5,5.6,6.1,5.7,6.5,6.7,7.5,7,6.1,4.5,2.9,2.5,3,78.7,,,,,
"Florence, SC",205095,12276,12561,14370,13271,12757,13500,12211,11826,12526,12954,13457,13960,13412,12703,9319,6243,4331,3418,157500,39.9,88.3,68.8,29.6,39.2,96202,6276,6414,7160,6792,6050,6373,5747,5169,6104,5994,6252,6250,6339,5820,4102,2575,1652,1133,72048,38.2,,,,,,6.5,6.7,7.4,7.1,6.3,6.6,6,5.4,6.3,6.2,6.5,6.5,6.6,6,4.3,2.7,1.7,1.2,74.9,,,,,,108893,6000,6147,7210,6479,6707,7127,6464,6657,6422,6960,7205,7710,7073,6883,5217,3668,2679,2285,85452,41,,,,,,5.5,5.6,6.6,5.9,6.2,6.5,5.9,6.1,5.9,6.4,6.6,7.1,6.5,6.3,4.8,3.4,2.5,2.1,78.5,,,,,
