Region,Country code,Parent code,2015,2016,2017,2018,2019,2020
Kazakhstan,398,5500,17572 ,17831 ,18080 ,18320 ,18551 ,18777 
Kyrgyzstan,417,5500,5959 ,6074 ,6190 ,6304 ,6416 ,6524 
Tajikistan,762,5500,8454 ,8664 ,8880 ,9101 ,9321 ,9538 
Turkmenistan,795,5500,5565 ,5662 ,5758 ,5851 ,5942 ,6031 
Uzbekistan,860,5500,30930 ,31442 ,31960 ,32476 ,32982 ,33469 
Afghanistan,4,5501,34414 ,35383 ,36296 ,37172 ,38042 ,38928 
Bangladesh,50,5501,156256 ,157977 ,159685 ,161377 ,163046 ,164689 
Bhutan,64,5501,728 ,737 ,746 ,754 ,763 ,772 
India,356,5501,1310152 ,1324517 ,1338677 ,1352642 ,1366418 ,1380004 
Iran (Islamic Republic of),364,5501,78492 ,79564 ,80674 ,81800 ,82914 ,83993 
Maldives,462,5501,455 ,476 ,496 ,516 ,531 ,541 
Nepal,524,5501,27015 ,27263 ,27633 ,28096 ,28609 ,29137 
Pakistan,586,5501,199427 ,203631 ,207906 ,212228 ,216565 ,220892 
Sri Lanka,144,5501,20908 ,21021 ,21128 ,21229 ,21324 ,21413 
China,156,906,1406848 ,1414049 ,1421022 ,1427648 ,1433784 ,1439324 
"China, Hong Kong SAR",344,906,7186 ,7244 ,7306 ,7372 ,7436 ,7497 
"China, Macao SAR",446,906,602 ,613 ,623 ,632 ,640 ,649 
"China, Taiwan Province of China",158,906,23557 ,23618 ,23675 ,23726 ,23774 ,23817 
Dem. People's Republic of Korea,408,906,25184 ,25308 ,25430 ,25550 ,25666 ,25779 
Japan,392,906,127985 ,127763 ,127503 ,127202 ,126860 ,126476 
Mongolia,496,906,2998 ,3056 ,3114 ,3170 ,3225 ,3278 
Republic of Korea,410,906,50823 ,50983 ,51096 ,51172 ,51225 ,51269 
Brunei Darussalam,96,920,415 ,420 ,424 ,429 ,433 ,437 
Cambodia,116,920,15521 ,15766 ,16009 ,16250 ,16487 ,16719 
Indonesia,360,920,258383 ,261556 ,264651 ,267671 ,270626 ,273524 
Lao People's Democratic Republic,418,920,6741 ,6846 ,6953 ,7061 ,7169 ,7276 
Malaysia,458,920,30271 ,30685 ,31105 ,31528 ,31950 ,32366 
Myanmar,104,920,52681 ,53045 ,53383 ,53708 ,54045 ,54410 
Philippines,608,920,102113 ,103664 ,105173 ,106651 ,108117 ,109581 
Singapore,702,920,5592 ,5654 ,5708 ,5758 ,5804 ,5850 
Thailand,764,920,68715 ,68971 ,69210 ,69428 ,69626 ,69800 
Timor-Leste,626,920,1196 ,1219 ,1243 ,1268 ,1293 ,1318 
Viet Nam,704,920,92677 ,93640 ,94601 ,95546 ,96462 ,97339 
Anguilla,660,915,14 ,14 ,15 ,15 ,15 ,15 
Antigua and Barbuda,28,915,94 ,95 ,95 ,96 ,97 ,98 
